case,baseline_median_sec,optimized_median_sec,speedup_x,checksum_baseline,checksum_optimized,checksum_abs_diff,runs,warmup
matrix_generic_ops,0.541814833,0.029244125,18.527,637602.19834544428,637602.19834544428,0.000e+00,3,1
list_hetero_ops,0.209356875,0.208339500,1.005,32400720000,32400720000,0.000e+00,3,1
matmul4_sum_ops,0.042519750,0.014445417,2.943,655808968970.51868,655808968970.51099,7.690e-03,3,1
