name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_naive,compute_median_sec,init_median_sec
Spark interpret (own),kernel-only,0.290560126,0.235642793,0.311138750,5,244643446.38684016,244643446.38684016,5.406551380,0.543566167,0.252381250
Spark interpret (blas),kernel-only,0.019552291,0.008518292,0.025676541,5,244643446.38684016,244643446.38684016,80.344970856,0.260514833,0.235644000
Spark interpret (auto),kernel-only,0.035344917,0.015753292,0.053289583,5,244643446.38684016,244643446.38684016,44.445662432,0.261001750,0.236867750
C (clang -O3 naive),kernel-only,1.570928250,1.556596000,1.603990667,5,244643446.38684016466140747,244643446.38684016,1.000000000,1.577419750,0.007021417
C (clang -O3 blocked),kernel-only,0.270136958,0.258982875,0.273927416,5,244643446.38684016466140747,244643446.38684016,5.815302954,0.278125625,0.007953583
C (BLAS dgemm),kernel-only,0.017771708,0.013967958,0.019887125,5,244643446.38684016466140747,244643446.38684016,88.394894321,0.024471709,0.007169042
Python+NumPy,kernel-only,0.023209668,0.000000000,0.046439709,5,244643446.38677170872688293,244643446.38677171,67.684218928,0.166834959,0.144010959
Java (naive loops),kernel-only,1.999365334,1.925245250,2.295118708,5,244643446.38684016000000000,244643446.38684016,0.785713458,2.085622292,0.089162750
