case,baseline_median_sec,optimized_median_sec,speedup_x,checksum_baseline,checksum_optimized,checksum_abs_diff,runs,warmup
matrix_generic_ops,0.548669916,0.027410541,20.017,637602.19834544428,637602.19834544428,0.000e+00,3,1
list_hetero_ops,0.207888584,0.201957917,1.029,32400720000,32400720000,0.000e+00,3,1
matmul4_sum_ops,0.042363000,0.013651458,3.103,655808968970.51868,655808968970.51099,7.690e-03,3,1
