case,baseline_median_sec,optimized_median_sec,speedup_x,checksum_baseline,checksum_optimized,checksum_abs_diff,runs,warmup
matrix_generic_ops,0.896590334,0.053069000,16.895,637602.19834544428,637602.19834544428,0.000e+00,5,1
list_operator_ops,10.572651500,1.246622208,8.481,12999965.000000009,12999965.000000009,0.000e+00,5,1
matmul4_sum_ops,1.276362459,0.067313666,18.961,1193175841454152.2,1193175841454209.5,5.725e+01,5,1
