name,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c
Spark interpret (own),0.072312833,0.071979084,0.072833084,7,24453782.647975333,24453782.647975333,1.023296930
Spark interpret (blas),0.057671750,0.054720625,0.060320541,7,24453782.647975329,24453782.647975329,1.283080538
Spark interpret (auto),0.054595417,0.053387875,0.056194583,7,24453782.647975329,24453782.647975329,1.355379335
C (clang -O3),0.073997500,0.067483875,0.074349667,7,24453782.64797532930970192,24453782.647975329,1.000000000
Python (naive loops),14.666318250,11.937774333,18.299434792,7,24453782.64797532930970192,24453782.647975329,0.005045404
Python+NumPy,0.080770125,0.077509917,0.116841666,7,24453782.64797864109277725,24453782.647978641,0.916149381
Java (naive loops),0.193852500,0.178988250,0.209402167,7,24453782.64797533000000000,24453782.647975329,0.381720638
