name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Spark interpret (own),kernel-only,0.022193250,0.000000000,0.048048209,3,1193175841454209.5,1193175841454209.5,395.166999251,0.342302250,0.306333375
Spark interpret (blas),kernel-only,0.000602624,0.000000000,0.006120250,3,1193175841454209.5,1193175841454209.5,14553.087811105,0.316925291,0.346370375
Spark interpret (auto),kernel-only,0.030233209,0.000000000,0.084018583,3,1193175841454209.5,1193175841454209.5,290.079693286,0.341110334,0.310877125
C (clang -O3 blocked),kernel-only,8.770040000,8.693127250,8.774918208,3,1193175841453034.00000000000000000,1193175841453034,1.000000000,8.773999500,0.003959500
C (BLAS dgemm chain),kernel-only,0.335372750,0.322155667,0.342114250,3,1193175841453034.00000000000000000,1193175841453034,26.150126985,0.339567833,0.004195083
Python+NumPy multi_dot,kernel-only,0.378084791,0.360408001,0.445337082,3,1193175841454205.25000000000000000,1193175841454205.2,23.195960825,0.475757166,0.097672375
