case,name,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c
list_ops,Spark (fast-init),0.024041375,0.023925917,0.037190917,3,533503.98379981122,533503.98379981122,0.377462105
list_ops,C (clang -O3),0.009074708,0.008954708,0.009397333,3,533503.98379927058704197,533503.98379927059,1.000000000
list_ops,Python (naive),0.231575166,0.221267708,0.235315042,3,533503.98379927058704197,533503.98379927059,0.039186879
list_ops,Python+NumPy,0.126524959,0.125036875,0.129441709,3,533503.98379970551468432,533503.98379970551,0.071722671
list_ops,Java (loops),0.086838625,0.085218875,0.089552209,3,533503.98379927060000000,533503.98379927059,0.104500826
matrix_ops,Spark (fast-init),0.026341166,0.025510417,0.026612250,3,513281.17717951647,513281.17717951647,0.244889197
matrix_ops,C (clang -O3),0.006450667,0.005876958,0.009044792,3,513281.17717951466329396,513281.17717951466,1.000000000
matrix_ops,Python (naive),0.121927792,0.114976834,0.125792625,3,513281.17717951466329396,513281.17717951466,0.052905633
matrix_ops,Python+NumPy,0.120434458,0.116866833,0.123898375,3,513281.17717951571103185,513281.17717951571,0.053561639
matrix_ops,Java (loops),0.085080917,0.075840333,0.090999917,3,513281.17717951466000000,513281.17717951466,0.075818024
