case,baseline_median_sec,optimized_median_sec,speedup_x,checksum_baseline,checksum_optimized,checksum_abs_diff,runs,warmup
matrix_generic_ops,0.120240041,0.017787875,6.760,199269.86897381372,199269.86897381372,0.000e+00,3,1
list_hetero_ops,0.213543917,0.209539250,1.019,32400720000,32400720000,0.000e+00,3,1
matmul4_sum_ops,0.050042125,0.016180750,3.093,655808968970.51868,655808968970.51099,7.690e-03,3,1
