name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Spark interpret (own),kernel-only,0.006368000,0.002815625,0.008746625,5,59658792072710.445,59658792072710.445,117.890016451,0.039824833,0.032970333
Spark interpret (blas),kernel-only,0.003058791,0.000000000,0.006755750,5,59658792072710.445,59658792072710.445,245.431486268,0.036903416,0.033844625
Spark interpret (auto),kernel-only,0.000000000,0.000000000,0.010941750,5,59658792072710.445,59658792072710.445,,0.039174708,0.035407042
C (clang -O3 blocked),kernel-only,0.750723625,0.742349792,0.783373667,5,59658792072707.60156250000000000,59658792072707.602,1.000000000,0.761557167,0.008712875
C (BLAS dgemm chain),kernel-only,0.037952041,0.037047416,0.045833459,5,59658792072707.60156250000000000,59658792072707.602,19.780849852,0.045450250,0.007260417
Python+NumPy multi_dot,kernel-only,0.043635125,0.033369334,0.045375458,5,59658792072710.27343750000000000,59658792072710.273,17.204571440,0.196460167,0.153992167
