case,name,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c
list_ops,Spark (fast-init),0.030960291,0.024604250,0.035432458,5,533503.98379981122,533503.98379981122,0.279801956
list_ops,C (clang -O3),0.008662750,0.008526458,0.011143667,5,533503.98379927058704197,533503.98379927059,1.000000000
list_ops,Python (naive),0.226844917,0.225488708,0.245783208,5,533503.98379927058704197,533503.98379927059,0.038187984
list_ops,Python+NumPy,0.127786291,0.126363792,0.129984791,5,533503.98379970551468432,533503.98379970551,0.067790918
list_ops,Java (loops),0.082824750,0.081556083,0.086687917,5,533503.98379927060000000,533503.98379927059,0.104591321
matrix_ops,Spark (fast-init),0.023442667,0.021401208,0.026099625,5,513281.17717951647,513281.17717951647,0.293277594
matrix_ops,C (clang -O3),0.006875209,0.005756084,0.008319833,5,513281.17717951466329396,513281.17717951466,1.000000000
matrix_ops,Python (naive),0.118169250,0.113634541,0.125364750,5,513281.17717951466329396,513281.17717951466,0.058181033
matrix_ops,Python+NumPy,0.118067292,0.111718792,0.128626917,5,513281.17717951571103185,513281.17717951571,0.058231275
matrix_ops,Java (loops),0.079101708,0.076447917,0.088574375,5,513281.17717951466000000,513281.17717951466,0.086916062
