name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Spark interpret (own),full,0.050104792,0.045974625,0.056922959,5,59658792072710.445,59658792072710.445,16.745903267,,
Spark interpret (blas),full,0.053866583,0.044354375,0.057445666,5,59658792072710.445,59658792072710.445,15.576447458,,
Spark interpret (auto),full,0.045358833,0.043850417,0.055168709,5,59658792072710.445,59658792072710.445,18.498050859,,
C (clang -O3 blocked),full,0.839050000,0.806538666,0.875342958,5,59658792072707.60156250000000000,59658792072707.602,1.000000000,,
C (BLAS dgemm chain),full,0.050459083,0.045873792,0.055754833,5,59658792072707.60156250000000000,59658792072707.602,16.628324380,,
Python+NumPy multi_dot,full,0.211102917,0.207352334,0.222124208,5,59658792072710.27343750000000000,59658792072710.273,3.974601639,,
