name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Spark interpret (own),full,0.054462584,0.053887375,0.056730166,3,1193175841454209.5,1193175841454209.5,229.858131438,,
Spark interpret (blas),full,0.051652083,0.051124958,0.052580583,3,1193175841454209.5,1193175841454209.5,242.365207058,,
Spark interpret (auto),full,0.052792208,0.051612416,0.055892792,3,1193175841454209.5,1193175841454209.5,237.130975771,,
C (clang -O3 blocked),full,12.518667791,12.400887250,12.612732583,3,1193175841453034.00000000000000000,1193175841453034,1.000000000,,
C (BLAS dgemm chain),full,0.471122833,0.469210250,0.471239958,3,1193175841453034.00000000000000000,1193175841453034,26.571982749,,
Python+NumPy multi_dot,full,0.645864750,0.641691667,0.658054875,3,1193175841454205.25000000000000000,1193175841454205.2,19.382800797,,
