name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_naive,compute_median_sec,init_median_sec
Spark interpret (own),full,0.029089250,0.029089250,0.029089250,1,320353.84454998362,320353.84454998362,15.860057123,,
Spark interpret (blas),full,0.030757500,0.030757500,0.030757500,1,320353.84454998357,320353.84454998357,14.999826623,,
Spark interpret (auto),full,0.028377292,0.028377292,0.028377292,1,320353.84454998357,320353.84454998357,16.257970170,,
C (clang -O3 naive),full,0.461357167,0.461357167,0.461357167,1,320353.84454998356522992,320353.84454998357,1.000000000,,
C (clang -O3 blocked),full,0.310887250,0.310887250,0.310887250,1,320353.84454998251749203,320353.84454998252,1.484001570,,
C (BLAS dgemm),full,0.313006042,0.313006042,0.313006042,1,320353.84454998356522992,320353.84454998357,1.473956107,,
Python+NumPy,full,0.121471916,0.121471916,0.121471916,1,320353.84454998263390735,320353.84454998263,3.798056227,,
Java (naive loops),full,0.068891000,0.068891000,0.068891000,1,320353.84454998357000000,320353.84454998357,6.696914941,,
Python (naive loops),full,0.228431334,0.228431334,0.228431334,1,320353.84454998356522992,320353.84454998357,2.019675493,,
