name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Spark interpret (own),full,0.017756875,0.017263459,0.019353750,5,327904484485.25549,327904484485.25549,3.783978039,,
Spark interpret (blas),full,0.017379083,0.016422708,0.018660375,5,327904484485.25549,327904484485.25549,3.866235348,,
Spark interpret (auto),full,0.018559042,0.017912708,0.028200209,5,327904484485.25549,327904484485.25549,3.620425293,,
C (clang -O3 blocked),full,0.067191625,0.066684833,0.069269750,5,327904484485.28228759765625000,327904484485.28229,1.000000000,,
C (BLAS dgemm chain),full,0.008877417,0.008262583,0.010019834,5,327904484485.28228759765625000,327904484485.28229,7.568826059,,
Python+NumPy multi_dot,full,0.098018791,0.094509917,0.099278000,5,327904484485.25537109375000000,327904484485.25537,0.685497386,,
C (clang -O3 naive),full,0.331478084,0.329881541,0.338797250,5,327904484485.28228759765625000,327904484485.28229,0.202703069,,
Java (naive loops),full,0.343930375,0.329221125,0.352311667,5,327904484485.25934000000000000,327904484485.25934,0.195364033,,
