name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_naive,compute_median_sec,init_median_sec
Spark interpret (own),kernel-only,1.542547792,1.538143834,1.605751375,3,1223217231.9342008,1223217231.9342008,6.956518849,1.806518500,0.263970708
Spark interpret (blas),kernel-only,0.090650250,0.084919625,0.093752667,3,1223217231.9342008,1223217231.9342008,118.375435121,0.345814750,0.260895125
Spark interpret (auto),kernel-only,0.073025166,0.059916541,0.107542583,3,1223217231.9342008,1223217231.9342008,146.946092467,0.331375291,0.265690458
C (clang -O3 naive),kernel-only,10.730762791,9.652848875,13.980140084,3,1223217231.93447375297546387,1223217231.9344738,1.000000000,10.763230666,0.021590541
C (clang -O3 blocked),kernel-only,2.887667959,2.525974709,3.140529500,3,1223217231.93378305435180664,1223217231.9337831,3.716065331,2.903674875,0.016006916
C (BLAS dgemm),kernel-only,0.155528166,0.127721083,0.158134750,3,1223217231.93447375297546387,1223217231.9344738,68.995623547,0.168468583,0.012637958
Python+NumPy,kernel-only,0.039561625,0.000000000,0.093544042,3,1223217231.93385863304138184,1223217231.9338586,271.241709466,0.272316500,0.232754875
Java (naive loops),kernel-only,14.081038791,13.012057750,14.277948958,3,1223217231.93447380000000000,1223217231.9344738,0.762071815,14.190716458,0.118086583
