name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_naive,compute_median_sec,init_median_sec
Spark interpret (own),full,0.495688291,0.476373750,0.498874958,3,244643446.38684016,244643446.38684016,3.365164470,,
Spark interpret (blas),full,0.246730959,0.235630084,0.248641667,3,244643446.38684016,244643446.38684016,6.760694449,,
Spark interpret (auto),full,0.233725375,0.233417083,0.241176625,3,244643446.38684016,244643446.38684016,7.136891427,,
C (clang -O3 naive),full,1.668072625,1.554341250,1.835635625,3,244643446.38684016466140747,244643446.38684016,1.000000000,,
C (clang -O3 blocked),full,0.269251875,0.264807000,0.279139500,3,244643446.38684016466140747,244643446.38684016,6.195212661,,
C (BLAS dgemm),full,0.033828584,0.022301583,0.048883250,3,244643446.38684016466140747,244643446.38684016,49.309560945,,
Python+NumPy,full,0.154500542,0.149625917,0.179344375,3,244643446.38677170872688293,244643446.38677171,10.796548694,,
Java (naive loops),full,2.631391375,2.191790125,2.762916750,3,244643446.38684016000000000,244643446.38684016,0.633912781,,
