case,baseline_median_sec,optimized_median_sec,speedup_x,checksum_baseline,checksum_optimized,checksum_abs_diff,runs,warmup
matrix_generic_ops,0.040626750,0.020126667,2.019,9963.4934487001392,9963.4934487001392,0.000e+00,3,1
list_hetero_ops,2.983437958,1.304364250,2.287,1500020000000,1500020000000,0.000e+00,3,1
matmul4_sum_ops,0.042539208,0.020083125,2.118,2048834274.8435597,2048834274.8435585,1.192e-06,3,1
