name,pass,metric,checksum,expected,mean_time_sec,median_time_sec,stdev_time_sec,min_time_sec,max_time_sec,max_drift_percent,reproducible,command
scalar,PASS,1599999980000000.0,1599999980000000.000000000000,1599999980000000.000000000000,0.049496775,0.049638625,0.0002677611991435654,0.048988458,0.049711959,1.3098005837188282,1,/Users/kursatyenidogan/Documents/kozmikaDil/.build_phase1/bench/benchmarks/spark_bench_scalar_c
list,PASS,12499998750000.357,12499998750000.357422,12499998750000.357422,0.0101795414,0.0101425,5.876254996032728e-05,0.010126125,0.010271833,1.2751589844712727,1,/Users/kursatyenidogan/Documents/kozmikaDil/.build_phase1/bench/benchmarks/spark_bench_list_c
matrix_elemwise,PASS,688909656.0,688909656.000000,688909656.000000,0.015479575,0.015434875,0.00030444851470421075,0.015064083,0.015862375,2.7697017306586593,1,/Users/kursatyenidogan/Documents/kozmikaDil/.build_phase1/bench/benchmarks/spark_bench_matrix_elemwise_c
matmul,PASS,524286642.75,524286642.750000000000,524286642.750000000000,0.018894783199999998,0.018879708,3.498157313443831e-05,0.018857,0.018947708,0.3601750620295721,1,/Users/kursatyenidogan/Documents/kozmikaDil/.build_phase1/bench/benchmarks/spark_bench_matmul_c
