name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Kozmika interpret (own),full,0.032016250,0.032016250,0.032016250,1,2048834274.8435585,2048834274.8435585,21.425386869,,
Kozmika interpret (blas),full,0.024579292,0.024579292,0.024579292,1,2048834274.8435585,2048834274.8435585,27.908067552,,
Kozmika interpret (auto),full,0.023657750,0.023657750,0.023657750,1,2048834274.8435585,2048834274.8435585,28.995172469,,
C (clang -O3 blocked),full,0.685960542,0.685960542,0.685960542,1,2048834274.84355950355529785,2048834274.8435595,1.000000000,,
C (BLAS dgemm chain),full,0.342316250,0.342316250,0.342316250,1,2048834274.84355950355529785,2048834274.8435595,2.003879576,,
Python+NumPy multi_dot,full,0.124177625,0.124177625,0.124177625,1,2048834274.84355783462524414,2048834274.8435578,5.524026909,,
