name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Spark interpret (own),kernel-only,3.983197876,3.965400625,4.410554625,5,298293960363538.06,298293960363538.06,0.971470619,4.363146083,0.381009000
Spark interpret (blas),kernel-only,0.112380917,0.037663375,0.210609958,5,298293960363538,298293960363538,34.432533663,0.527200667,0.419151125
Spark interpret (auto),kernel-only,0.156726167,0.104642292,0.193330542,5,298293960363538,298293960363538,24.689940306,0.525151000,0.364560250
C (clang -O3 blocked),kernel-only,3.869559708,2.849039542,3.942547626,5,298293960363460.50000000000000000,298293960363460.5,1.000000000,3.878001125,0.008389750
C (BLAS dgemm chain),kernel-only,0.161954541,0.154497375,0.162782626,5,298293960363460.50000000000000000,298293960363460.5,23.892875645,0.169771208,0.007782459
Python+NumPy multi_dot,kernel-only,0.165752958,0.155238708,0.167718292,5,298293960363551.37500000000000000,298293960363551.38,23.345343302,0.329203083,0.164871542
