requested_backend_input,requested_backend,effective_backend,matrix_size,repeats,operation_count,thread_count,selected_profile,status_ok,parse_ok,program_pass,portable_route_ok,median_time_sec,mean_time_sec,median_gflops,mean_gflops,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
cuda,cuda,own,128,3,12582912.0,1,latency_serial_1t,1,1,1,1,0.01566521099999818,0.01566521099999818,0.8032392286322515,0.8032392286322515,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
rocm_hip,rocm_hip,own,128,3,12582912.0,2,throughput_default,1,1,1,1,0.01551052900001082,0.01551052900001082,0.8112497001224924,0.8112497001224924,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
oneapi_sycl,oneapi_sycl,own,128,3,12582912.0,1,latency_serial_1t_tile96,1,1,1,1,0.015406984999998485,0.015406984999998485,0.8167017752013932,0.8167017752013932,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
opencl,opencl,own,128,3,12582912.0,2,throughput_default,1,1,1,1,0.01564034399999059,0.01564034399999059,0.8045163201018832,0.8045163201018832,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
vulkan_compute,vulkan_compute,own,128,3,12582912.0,2,throughput_tile128,1,1,1,1,0.015265270000000442,0.015265270000000442,0.8242836189598767,0.8242836189598767,2.9802322387695312e-08,0.0,3.0,0.0,128.0,128.0,128.0
metal,metal,own,128,3,12582912.0,1,latency_serial_1t,1,1,1,1,0.016075094999990824,0.016075094999990824,0.7827581734358138,0.7827581734358138,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
webgpu,webgpu,own,128,3,12582912.0,1,latency_serial_1t,1,1,1,1,0.015503726000005713,0.015503726000005713,0.811605674661392,0.811605674661392,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
