name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_blocked,compute_median_sec,init_median_sec
Kozmika interpret (own),full,0.019269084,0.018903041,0.019624375,3,59658792072710.445,59658792072710.445,20.517458168,,
Kozmika interpret (blas),full,0.019550709,0.018972666,0.019680333,3,59658792072710.445,59658792072710.445,20.221907302,,
Kozmika interpret (auto),full,0.019420375,0.019354542,0.019667416,3,59658792072710.445,59658792072710.445,20.357620540,,
C (clang -O3 blocked),full,0.395352625,0.393469041,0.397924792,3,59658792072707.60156250000000000,59658792072707.602,1.000000000,,
C (BLAS dgemm chain),full,0.022449167,0.022162375,0.022595625,3,59658792072707.60156250000000000,59658792072707.602,17.611015382,,
Python+NumPy multi_dot,full,0.094881833,0.093626625,0.095729208,3,59658792072710.27343750000000000,59658792072710.273,4.166789495,,
C (clang -O3 naive),full,2.336851417,2.332319917,2.375351958,3,59658792072707.60156250000000000,59658792072707.602,0.169181755,,
Java (naive loops),full,2.407933333,2.389893334,2.475196625,3,59658792072707.60000000000000000,59658792072707.602,0.164187529,,
