name,pass,pass_no_perf_gate,pass_no_perf_gate_repro,within_band_vs_baseline,expected,interpreted_median_sec,native_median_sec,baseline_median_sec,speedup_interp,speedup_vs_baseline,interpreted_value,native_value,baseline_value,interpreted_reproducible,native_reproducible,baseline_reproducible,reproducible,reproducible_gate,output_match,interpreted_repeat,native_repeat,baseline_repeat
list_iteration,PASS,PASS,PASS,1,79999800000,0.8798601250018692,0.13283212500391528,0.13395445900096092,52.99080323985993,1.0084492662976863,79999800000.0,79999800000.0,79999800000.0,1,1,0,0,1,True,8,64,64
matrix_elemwise,PASS,PASS,PASS,1,157362600,1.80520862499543,0.11974716700206045,0.11969708299147896,120.60134165608233,0.9995817520210677,157362600.0,157362600.0,157362600.0,1,0,1,0,1,True,8,64,64
