name,pass,pass_no_perf_gate,pass_no_perf_gate_repro,within_band_vs_baseline,expected,interpreted_median_sec,native_median_sec,baseline_median_sec,speedup_interp,speedup_vs_baseline,interpreted_value,native_value,baseline_value,interpreted_reproducible,native_reproducible,baseline_reproducible,reproducible,reproducible_gate,output_match,interpreted_repeat,native_repeat,baseline_repeat
list_iteration,PASS,PASS,PASS,1,79999800000,0.8840990840108134,0.13003995800681878,0.12990954099223018,54.389379852888275,0.9989971004559863,79999800000.0,79999800000.0,79999800000.0,1,1,1,1,1,True,8,64,64
matrix_elemwise,PASS,PASS,PASS,1,157362600,1.7953675409953576,0.11839695800154004,0.11848412500694394,121.31173444317746,1.0007362267314568,157362600.0,157362600.0,157362600.0,1,1,0,0,1,True,8,64,64
